nazwa_pliku,godlo,aktualnosc,wielkosc_piksela,uklad_wspolrzednych,caly_arkusz_wypelniony_trescia,modul_archiwizacji,zrodlo_danych,kolor,numer_zgloszenia_pracy,aktualnosc_rok
76594_1102771_N-34-68-D-c-1-3.tif,N-34-68-D-c-1-3,2022-06-24,0.25,PL-1992,TAK,1:5000,Zdj. cyfrowe,RGB,DFT.7201.003.2022,2022
64966_439077_7.214.27.21.tif,7.214.27.21,2013-05-18,0.1,PL-2000:S7,TAK,1:2000,Zdj. cyfrowe,RGB,NM-3334-009/12,2013
64872_334759_7.214.27.3.tif,7.214.27.3,2016-05-07,0.5,PL-2000:S7,TAK,1:5000,Zdj. cyfrowe,RGB,DFT.7201.008.2016,2016
76595_1102784_N-34-68-D-c-3-1.tif,N-34-68-D-c-3-1,2022-06-24,0.25,PL-1992,TAK,1:5000,Zdj. cyfrowe,CIR,DFT.7201.003.2022,2022
64966_439082_7.213.27.01.tif,7.213.27.01,2013-05-18,0.1,PL-2000:S7,TAK,1:2000,Zdj. cyfrowe,RGB,NM-3334-009/12,2013
64872_334753_7.213.27.1.tif,7.213.27.1,2016-05-07,0.5,PL-2000:S7,TAK,1:5000,Zdj. cyfrowe,RGB,DFT.7201.008.2016,2016
64966_439078_7.214.27.22.tif,7.214.27.22,2013-05-18,0.1,PL-2000:S7,TAK,1:2000,Zdj. cyfrowe,RGB,NM-3334-009/12,2013
64966_439083_7.213.27.02.tif,7.213.27.02,2013-05-18,0.1,PL-2000:S7,TAK,1:2000,Zdj. cyfrowe,RGB,NM-3334-009/12,2013
76595_1102774_N-34-68-D-c-1-4.tif,N-34-68-D-c-1-4,2022-06-24,0.25,PL-1992,TAK,1:5000,Zdj. cyfrowe,CIR,DFT.7201.003.2022,2022
64966_439079_7.214.27.23.tif,7.214.27.23,2013-05-18,0.1,PL-2000:S7,TAK,1:2000,Zdj. cyfrowe,RGB,NM-3334-009/12,2013
76595_1102786_N-34-68-D-c-3-2.tif,N-34-68-D-c-3-2,2022-06-24,0.25,PL-1992,TAK,1:5000,Zdj. cyfrowe,CIR,DFT.7201.003.2022,2022
64966_439084_7.213.27.03.tif,7.213.27.03,2013-05-18,0.1,PL-2000:S7,TAK,1:2000,Zdj. cyfrowe,RGB,NM-3334-009/12,2013
64872_334760_7.214.27.4.tif,7.214.27.4,2016-05-07,0.5,PL-2000:S7,TAK,1:5000,Zdj. cyfrowe,RGB,DFT.7201.008.2016,2016
64872_334754_7.213.27.2.tif,7.213.27.2,2016-05-07,0.5,PL-2000:S7,TAK,1:5000,Zdj. cyfrowe,RGB,DFT.7201.008.2016,2016
73905_998189_N-34-68-D-c-2-3.tif,N-34-68-D-c-2-3,2013-05-06,0.5,PL-1992,TAK,1:5000,Zdj. cyfrowe,CIR,N-3334-02/13/F,2013
64966_439080_7.214.27.24.tif,7.214.27.24,2013-05-18,0.1,PL-2000:S7,NIE,1:2000,Zdj. cyfrowe,RGB,NM-3334-009/12,2013
64966_439085_7.213.27.04.tif,7.213.27.04,2013-05-18,0.1,PL-2000:S7,NIE,1:2000,Zdj. cyfrowe,RGB,NM-3334-009/12,2013
